release_date,artist,album,fantano_rating,review_link,number_user_reviews,number_critic_reviews,format,label,genres,producer,website,tracks,features,number_tracks,avg_track_rating,total_length,user_score,critic_score,info_link
"March 31, 2015",Wale,The Album About Nothing,40,https://www.youtube.com/watch?v=c3PFKqZXmkU,41,10,LP,"Maybach Music, Atlantic",Hip Hop,NA,www.walemusic.com,NA,NA,NA,NA,NA,62,65,https://www.albumoftheyear.org/album/25945-wale-the-album-about-nothing.php
"June 24, 2022",Petrol Girls,Baby,90,https://youtu.be/n5251uGGWJQ,245,7,LP,Hassle,"Riot Grrrl, Post-Hardcore, Noise Rock",Peter Miles,NA,"Scraps [75] (0:28) | Preachers [95] (3:06) | Feed My Fire [81] (3:07) | Baby, I Had an Abortion [89] (3:12) | Clowns [86] (2:49) | Unsettle [81] (3:18) | Fight for Our Lives [87] (3:35) | Violent by Design [83] (3:11) | One or the Other [83] (2:45) | Sick & Tired [92] (3:15) | Bones [92] (5:10)",NA | NA | NA | NA | NA | NA | Janey Starling | Janey Starling | NA | NA | NA,11,85.81818181818181,Total Length: 34 minutes,79,82,https://www.albumoftheyear.org/album/517001-petrol-girls-baby.php
"February 13, 2012",Soap&Skin,Narrow,80,https://www.youtube.com/watch?v=Y_5jlhMZwEM,49,5,LP,PIAS,"Experimental, Singer-Songwriter, Art Pop, Neoclassical Darkwave",NA,NA,NA,NA,NA,NA,NA,78,78,https://www.albumoftheyear.org/album/3490-soap-skin-narrow.php
"April 20, 2018",J. Cole,KOD,50,https://www.youtube.com/watch?v=D5vrzzxGxwc,1730,16,LP,"Roc Nation, Dreamville","Hip Hop, Conscious Hip Hop, East Coast Hip Hop",NA,www.dreamville.com,Intro [59] (1:47) | KOD [67] (3:11) | Photograph [49] (3:38) | The Cut Off [64] (3:57) | ATM [78] (3:36) | Motiv8 [59] (82:13) | Kevin's Heart [75] (3:20) | BRACKETS [66] (5:15) | Once an Addict [68] (3:17) | FRIENDS [60] (4:17) | Window Pain [72] (4:46) | 1985 (Intro to The Fall Off) [80] (3:10),NA | NA | NA | KiLL Edward | NA | NA | NA | NA | NA | KiLL Edward | NA | NA,12,66.41666666666667,Total Length: 42 minutes,62,71,https://www.albumoftheyear.org/album/108199-j-cole-kod.php
"June 6, 2012",Gnaw Their Tongues,Eschatological Scatology,70,https://www.youtube.com/watch?v=mVtFxatTLgU,1,1,LP,-,-,NA,NA,NA,NA,NA,NA,NA,70,70,https://www.albumoftheyear.org/album/86620-gnaw-their-tongues-eschatological-scatology.php
"November 1, 2019",Michael Kiwanuka,Kiwanuka,70,https://www.youtube.com/watch?v=4pRxNcHyxKQ,873,30,LP,Polydor,Psychedelic Soul,NA,NA,You Ain't The Problem [91] (4:09) | Rolling [84] (2:51) | I've Been Dazed [92] (4:25) | Piano Joint (This Kind of Love) [Intro] [80] (2:18) | Piano Joint (This Kind of Love) [91] (3:51) | Another Human Being [82] (1:51) | Living In Denial [92] (3:31) | Hero [100] (1:20) | Hero [100] (3:19) | Hard to Say Goodbye [79] (7:05) | Final Days [88] (4:10) | Interlude (Loving the People) [80] (2:42) | Solid Ground [85] (3:53) | Light [84] (5:48),NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA,14,87.71428571428571,Total Length: 51 minutes,80,87,https://www.albumoftheyear.org/album/170681-michael-kiwanuka-kiwanuka.php
"June 1, 2018",Ghost,Prequelle,80,https://www.youtube.com/watch?v=-L2Xv5-EmUo,561,14,LP,Loma Vista,"Hard Rock, Heavy Metal",Tom Dalgety,NA,Ashes [81] (1:21) | Rats [100] (4:21) | Faith [90] (4:29) | See the Light [87] (4:05) | Miasma [89] (5:17) | Dance Macabre [92] (3:39) | Pro Memoria [81] (5:39) | Witch Image [96] (3:30) | Helvetesfonster [78] (5:55) | Life Eternal [93] (3:27),NA | NA | NA | NA | NA | NA | NA | NA | NA | NA,10,88.7,Total Length: 41 minutes,75,82,https://www.albumoftheyear.org/album/107873-ghost-prequelle.php
"October 25, 2011",The Strange Boys,Live Music,70,https://www.youtube.com/watch?v=rgIESOp7WCM,4,11,LP,Rough Trade,Garage Rock,NA,NA,NA,NA,NA,NA,NA,70,68,https://www.albumoftheyear.org/album/32607-the-strange-boys-live-music.php
"February 7, 2013",Autechre,Exai,80,https://www.youtube.com/watch?v=04flJC_4pv8,135,20,LP,Warp,Electronic,NA,NA,NA,NA,NA,NA,NA,78,80,https://www.albumoftheyear.org/album/5703-autechre-exai.php
"February 7, 2012",Sharon Van Etten,Tramp,70,https://www.youtube.com/watch?v=E9V9AkezyRQ,224,31,LP,Jagjaguwar,"Singer-Songwriter, Indie Folk, Indie Rock",Aaron Dessner,sharonvanetten.com,NA,NA,NA,NA,NA,79,81,https://www.albumoftheyear.org/album/3057-sharon-van-etten-tramp.php
"April 9, 2013",Kurt Vile,Wakin on a Pretty Daze,80,https://www.youtube.com/watch?v=D3ZoR4mwdnw,465,36,LP,Matador,"Folk Rock, Singer-Songwriter, Indie Rock",NA,kurtvile.com,Wakin On a Pretty Day [100] (9:30) | KV Crimes [100] (3:57) | Was All Talk [100] (7:41) | Girl Called Alex [100] (6:19) | Never Run Away [80] (3:24) | Pure Pain [100] (5:08) | Too Hard [60] (8:03) | Shame Chamber [80] (4:46) | Snowflakes Are Dancing [80] (3:22) | Air Bud [80] (6:29) | Goldtone1 [100] (10:25),NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA,11,89.0909090909091,"Total Length: 1 hour, 9 minutes",81,82,https://www.albumoftheyear.org/album/5729-kurt-vile-wakin-on-a-pretty-daze.php
"January 11, 2019",Big K.R.I.T.,TDT,60,https://www.youtube.com/watch?v=QCLxY1FHMh0,140,2,Compilation,Multi Alumni,"Hip Hop, Southern Hip Hop",NA,bigkrit.com,NA,NA,NA,NA,NA,63,65,https://www.albumoftheyear.org/album/135743-big-krit-tdt.php
"August 13, 2021",The Killers,Pressure Machine,70,https://youtu.be/VzHT35kxLuQ,729,28,LP,Island Records,"Heartland Rock, Folk Rock","Jonathan Rado, Shawn Everett",thekillersmusic.com,West Hills [87] (5:42) | Quiet Town [79] (4:45) | Terrible Thing [71] (3:52) | Cody [75] (3:50) | Sleepwalker [75] (4:27) | Runaway Horses [73] (3:54) | In The Car Outside [83] (5:28) | In Another Life [80] (3:45) | Desperate Things [71] (5:16) | Pressure Machine [77] (5:09) | The Getting By [70] (5:09),NA | NA | NA | NA | NA | Phoebe Bridgers | NA | NA | NA | NA | NA,11,76.45454545454545,Total Length: 51 minutes,72,78,https://www.albumoftheyear.org/album/317950-the-killers-pressure-machine.php
"March 25, 2022",Ibibio Sound Machine,Electricity,70,https://www.youtube.com/watch?v=y9e_a-lIFuY,215,15,LP,Merge,"Afro-Funk, Synth Funk, Afrobeat, Electro",NA,NA,Protection From Evil [80] (4:36) | Electricity [84] (4:47) | Casio (Yak Nda Nda) [76] (3:55) | Afo Ken Doko Mien [68] (4:50) | All That You Want [74] (4:37) | Wanna See Your Face Again [65] (4:26) | 17 18 19 [81] (193:07) | Truth No Lie [74] (3:51) | Oyoyo [68] (3:01) | Something We'll Remember [71] (4:09) | Almost Flying [72] (4:07) | Freedom [67] (2:54),NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA,12,73.33333333333333,Total Length: 48 minutes,75,81,https://www.albumoftheyear.org/album/459498-ibibio-sound-machine-electricity.php
"September 22, 2017",Rapsody,Laila's Wisdom,80,https://www.youtube.com/watch?v=EnGPUH911nU,334,7,LP,"Roc Nation, Jamla","Hip Hop, Conscious Hip Hop","9th Wonder, Khrysis, Nottz, Eric G",NA,NA,NA,NA,NA,NA,79,85,https://www.albumoftheyear.org/album/89633-rapsody-lailas-wisdom.php
"April 15, 2013",Charli XCX,True Romance,30,https://www.youtube.com/watch?v=0fgfTrHZGlY,847,20,LP,"Asylum, Atlantic","Synthpop, Electropop",NA,www.charlixcxmusic.com,Nuclear Seasons [89] (4:41) | You (Ha Ha Ha) [87] (3:06) | Take My Hand [84] (4:26) | Stay Away [86] (3:47) | Set Me Free (Feel My Pain) [88] (3:53) | Grins [80] (3:52) | So Far Away [81] (3:21) | Cloud Aura [75] (2:44) | What I Like [83] (3:01) | Black Roses [85] (3:28) | You're the One [81] (3:15) | How Can I [76] (3:55) | Lock You Up [86] (3:31),NA | NA | NA | NA | NA | NA | NA | Brooke Candy | NA | NA | NA | NA | NA,13,83.15384615384616,Total Length: 47 minutes,74,71,https://www.albumoftheyear.org/album/5873-charli-xcx-true-romance.php
"March 31, 2017",Freddie Gibbs,You Only Live 2wice,60,https://www.youtube.com/watch?v=ZgT57CPrmFI,402,8,LP,"ESGN, Empire","Hip Hop, Trap, Gangsta Rap",NA,NA,NA,NA,NA,NA,NA,73,76,https://www.albumoftheyear.org/album/74553-freddie-gibbs-you-only-live-2wice.php
"April 25, 2019",Rico Nasty & Kenny Beats,Anger Management,60,https://www.youtube.com/watch?v=6dLOzNKfslQ,791,6,Mixtape,Sugar Trap,"Trap, Hardcore Hip Hop, Trap Metal, East Coast Hip Hop",Harry Fraud,NA,Cold [85] (2:33) | Cheat Code [80] (2:17) | Hatin [75] (2:20) | Big Titties [85] (2:52) | Nasty World (Skit) [NA] (0:47) | Relative [75] (1:20) | Mood [65] (2:04) | Sell Out [75] (2:21) | Again [80] (2:06),"NA | Baauer | NA | Baauer, EARTHGANG | NA | NA | Splurge | NA | NA",9,77.5,Total Length: 18 minutes,71,74,https://www.albumoftheyear.org/album/150408-rico-nasty-kenny-beats-anger-management.php
"September 30, 2021",Juçara Marçal,Delta Estácio Blues,70,https://youtu.be/KWObzAl8uX4,292,4,LP,QTV,"Experimental Rock, Glitch",NA,NA,"Vi de Relance a Coroa [94] (3:33) | Sem Cais [85] (3:21) | Delta Estácio Blues [92] (2:26) | Ladra [81] (3:23) | Crash [89] (2:59) | Baleia [83] (3:13) | La Femme à Barbe [79] (4:02) | Oi, Cat [71] (3:29) | Lembranças Que Guardei [88] (5:41) | Corpus Christi [89] (3:09) | Iyalode Mbé Mbé [87] (3:06)",NA | NA | NA | NA | NA | NA | NA | NA | Fernando Catatau | NA | NA,11,85.27272727272727,Total Length: 38 minutes,78,78,https://www.albumoftheyear.org/album/420525-jucara-marcal-delta-estacio-blues.php
"September 16, 2016",Mac Miller,The Divine Feminine,40,https://www.youtube.com/watch?v=vDzb4npeozE,916,13,LP,Warner Bros.,"Hip Hop, Alternative R&B","Dâm-Funk, JMSN, Frank Dukes, Pomo, DJ Dahi, Vinylz, Aja Grant, I.D. Labs, Mister Neek, Musicman Ty, Tae Beast",macmillerswebsite.com,"Congratulations [83] (4:16) | Dang! [94] (5:05) | Stay [82] (5:26) | Skin [76] (4:47) | Cinderella [82] (8:00) | Planet God Damn [75] (3:11) | Soulmate [71] (4:32) | We [77] (5:19) | My Favorite Part [85] (3:36) | God Is Fair, Sexy Nasty [87] (8:20)",Bilal | Anderson .Paak | NA | NA | Ty Dolla $ign | Njomza | NA | Cee-Lo Green | Ariana Grande | Kendrick Lamar,10,81.2,Total Length: 52 minutes,73,69,https://www.albumoftheyear.org/album/58646-mac-miller-the-divine-feminine.php
"March 9, 2010",Gonjasufi,A Sufi and a Killer,90,https://www.youtube.com/watch?v=DokfQZFDxek,114,14,LP,Warp,"Psychedelic Soul, Electronic",NA,NA,NA,NA,NA,NA,NA,75,77,https://www.albumoftheyear.org/album/1464-gonjasufi-a-sufi-and-a-killer.php
"June 3, 2022",Angel Olsen,Big Time,70,https://www.youtube.com/watch?v=NrAlED63uXQ,667,27,LP,Jagjaguwar,"Americana, Singer-Songwriter, Alt-Country","Jonathan Wilson, Angel Olsen",angelolsen.com,All the Good Times [89] (4:36) | Big Time [81] (4:07) | Dream Thing [80] (3:53) | Ghost On [83] (4:20) | All the Flowers [83] (3:37) | Right Now [87] (5:07) | This Is How It Works [83] (6:24) | Go Home [85] (5:25) | Through the Fires [87] (4:31) | Chasing the Sun [87] (4:43),NA | NA | NA | NA | NA | NA | NA | NA | NA | NA,10,84.5,Total Length: 46 minutes,79,84,https://www.albumoftheyear.org/album/487215-angel-olsen-big-time.php
"June 28, 2011",SBTRKT,SBTRKT,80,https://www.youtube.com/watch?v=6p3xVcQZuCY,263,21,LP,XL,Future Garage,NA,sbtrkt.com,NA,NA,NA,NA,NA,79,76,https://www.albumoftheyear.org/album/2613-sbtrkt-sbtrkt.php
"August 21, 2020",Nas,King's Disease,70,https://youtu.be/bC57B3zsv3k,844,10,LP,"Mass Appeal, Def Jam","Hip Hop, Boom Bap","Hit-Boy, Cyanca, Rogét Chahayed, G. Ry, Gabriel Zardes, Audio Anthem, Corbett, HazeBanga, J. Pelham, Pat Junior, Penthouse Parti",NA,King's Disease [83] (1:51) | Blue Benz [81] (2:21) | Car #85 [80] (853:28) | Ultra Black [82] (3:18) | 27 Summers [76] (1:42) | Replace Me [79] (2:50) | Til The War Is Won [70] (3:21) | All Bad [80] (3:48) | The Definition [73] (2:01) | Full Circle [74] (3:51) | 10 Points [83] (3:04) | The Cure [79] (3:52) | Spicy [81] (2:46),"NA | NA | Charlie Wilson | Hit-Boy | NA | Big Sean, Don Toliver | Lil Durk | Anderson .Paak | Brucie B | AZ, Foxy Brown, Cormega | NA | NA | Fivio Foreign, A$AP Ferg",13,78.53846153846153,Total Length: 38 minutes,71,74,https://www.albumoftheyear.org/album/270603-nas-kings-disease.php
"April 27, 2018",Wiley,Godfather II,50,https://www.youtube.com/watch?v=1K6l7wIuOHg,91,7,LP,CTA,Grime,NA,NA,NA,NA,NA,NA,NA,45,59,https://www.albumoftheyear.org/album/94468-wiley-godfather-ii.php
"January 15, 2021",shame,Drunk Tank Pink,60,https://youtu.be/t8OB9Da7gsw,1431,29,LP,Dead Oceans,"Post-Punk, Art Punk",James Ford,NA,"Alphabet [79] (2:53) | Nigel Hitter [77] (3:24) | Born in Luton [88] (4:47) | March Day [81] (3:11) | Water in the Well [80] (3:07) | Snow Day [89] (5:22) | Human, for a Minute [80] (4:34) | Great Dog [74] (1:57) | 6/1 [81] (12:34) | Harsh Degrees [76] (3:09) | Station Wagon [80] (6:39)",NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA,11,80.45454545454545,Total Length: 41 minutes,74,80,https://www.albumoftheyear.org/album/303732-shame-drunk-tank-pink.php
"February 18, 2022",Oliver Tree,Cowboy Tears,30,https://www.youtube.com/watch?v=kP0V93rTCaw,422,3,LP,Atlantic,"Indie Pop, Country Pop, Folk Pop, Pop Rock, Country","Travis Barker, Marshmello, Whethan, Casey Mattson, Ilan Rubin, John Hill, Imad Royal",NA,Cowboys Don’t Cry [52] (3:09) | Swing & A Miss [44] (2:59) | Get Well Soon [44] (2:23) | Freaks & Geeks [30] (2:20) | Doormat [34] (2:51) | Suitcase Full of Cash [36] (2:29) | Cigarettes [34] (2:33) | Balloon Boy [33] (2:18) | Things We Used To Do [42] (2:37) | California [15] (2:53) | Playing With Fire [33] (2:28) | The Villain [34] (2:33) | Cowboy Tears [42] (2:57),NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA,13,36.38461538461539,Total Length: 34 minutes,34,49,https://www.albumoftheyear.org/album/444540-oliver-tree-cowboy-tears.php
"February 14, 2012",Tennis,Young & Old,40,https://www.youtube.com/watch?v=_OccjaZSDHI,66,29,LP,Fat Possum,Indie Pop,NA,tennis-music.com,NA,NA,NA,NA,NA,73,69,https://www.albumoftheyear.org/album/3281-tennis-young-old.php
"November 13, 2015",Anna von Hausswolff,The Miraculous,60,https://www.youtube.com/watch?v=Aj7zSILtOYg,95,12,LP,City Slang,"Experimental Rock, Ethereal Wave",NA,NA,NA,NA,NA,NA,NA,77,78,https://www.albumoftheyear.org/album/39615-anna-von-hausswolff-the-miraculous.php
"January 8, 2021",Viagra Boys,Welfare Jazz,80,https://youtu.be/ru9qiOXq4ec,900,26,LP,YEAR0001,"Post-Punk, Art Punk","Matt Sweeney, Patrik Berger, Jeremiah Raisen, Justin Raisen, Pelle Gunnerfeldt, Daniel Fagerström, DJ Haydn",NA,Ain't Nice [84] (3:32) | Cold Play [63] (0:31) | Toad [77] (3:35) | This Old Dog [59] (0:37) | Into the Sun [72] (3:58) | Creatures [80] (3:32) | 6 Shooter [75] (4:50) | Best in Show II [58] (0:46) | Secret Canine Agent [70] (1:45) | I Feel Alive [74] (4:29) | Girls & Boys [79] (4:39) | To the Country [75] (2:57) | In Spite of Ourselves [78] (5:03),NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | Amy Taylor,13,72.61538461538461,Total Length: 40 minutes,69,78,https://www.albumoftheyear.org/album/290508-viagra-boys-welfare-jazz.php
"December 13, 2019",Harry Styles,Fine Line,50,https://www.youtube.com/watch?v=jKw0RVvH94A,1911,26,LP,"Columbia, Erskine","Pop Rock, Pop, Psychedelic Pop, Sunshine Pop","Kid Harpoon, Jeff Bhasker, Greg Kurstin, Tyler Johnson",hstyles.co.uk,"Golden [86] (3:28) | Watermelon Sugar [76] (2:53) | Adore You [85] (3:27) | Lights Up [82] (2:52) | Cherry [75] (4:19) | Falling [82] (4:00) | To Be So Lonely [71] (3:12) | She [82] (6:02) | Sunflower, Vol. 6 [82] (63:41) | Canyon Moon [72] (3:09) | Treat People With Kindness [60] (3:17) | Fine Line [81] (6:17)",NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA,12,77.83333333333333,Total Length: 46 minutes,73,73,https://www.albumoftheyear.org/album/189856-harry-styles-fine-line.php
"October 6, 2017",Lil Pump,Lil Pump,70,https://www.youtube.com/watch?v=rWUT9uCl9Es,829,4,LP,"Warner Bros., Tha Lights Global","Trap, Southern Hip Hop","Ronny J, Frank Dukes, TM88, Danny Wolf, Fadedblackid, CBMiX, Trapphones, Bighead, Gnealz, Mr. 2-17, Terrotuga, Captain Crunch, Diablo, Illa Da Producer",NA,What U Sayin' [40] (2:20) | Gucci Gang [60] (2:04) | Smoke My Dope [40] (2:15) | Crazy [30] (2:05) | Back [60] (3:17) | D Rose [50] (2:15) | At the Door [50] (2:03) | Youngest Flexer [30] (3:19) | Foreign [20] (1:52) | Whitney [40] (3:12) | Molly [50] (2:02) | Iced Out [40] (3:12) | Boss [20] (1:46) | Flex Like Ouu [30] (1:48) | Pinky Ring [40] (3:12),"Smokepurpp | NA | Smokepurpp | NA | Lil Yachty | NA | NA | Gucci Mane | NA | Chief Keef | NA | 2 Chainz | NA | NA | Smokepurpp, Rick Ross",15,40,Total Length: 36 minutes,52,67,https://www.albumoftheyear.org/album/91505-lil-pump-lil-pump.php
"February 6, 2016",Future,EVOL,60,https://www.youtube.com/watch?v=M082_esTTsc,466,18,LP,"Epic, Freebandz, A1","Hip Hop, Trap",NA,freebandz.com,Ain't No Time [87] (3:22) | In Her Mouth [69] (3:12) | Maybach [78] (3:40) | Xanny Family [80] (3:05) | Lil Haiti Baby [73] (4:37) | Photo Copied [87] (2:52) | Seven Rings [86] (3:25) | Lie to Me [60] (3:32) | Program [70] (2:56) | Low Life [95] (5:13) | Fly Shit Only [90] (3:32),NA | NA | NA | NA | NA | NA | NA | NA | NA | The Weeknd | NA,11,79.54545454545455,Total Length: 39 minutes,64,70,https://www.albumoftheyear.org/album/49593-future-evol.php
"December 4, 2015",G-Eazy,When It's Dark Out,40,https://www.youtube.com/watch?v=nuxmYZM4wOA,129,6,LP,RCA,"Hip Hop, Pop Rap","Cashmere Cat, Southside, IAMNOBODI, Boi-1da, Happy Perez, DJ Spinz, Kane Beatz, Parker Ighile, OZ, Christoph Andersson, Michael Keenan, Henry Daher",NA,NA,NA,NA,NA,NA,56,62,https://www.albumoftheyear.org/album/44169-g-eazy-when-its-dark-out.php
"December 12, 2012",The Black Heart Rebellion,Har Nevo,70,https://www.youtube.com/watch?v=kCqxe3bhBqQ,2,1,LP,Consouling Sounds,-,NA,NA,NA,NA,NA,NA,NA,77,70,https://www.albumoftheyear.org/album/72327-the-black-heart-rebellion-har-nevo.php
"September 28, 2018",Lil Wayne,Tha Carter V,60,https://www.youtube.com/watch?v=EHNTRu_ocH4,835,18,LP,"Young Money, Republic","Trap, Southern Hip Hop","Mustard, Swizz Beatz, Metro Boomin, Zaytoven, Bloque, Johnny Yukon, Mannie Fresh, ONHEL, DJ Frank E, Sak Pase, DrtWrk, Ben Billions, Z3N, Sevn Thomas, Infamous, Reefa, Prince 85, Thomas Troelsen, Jonah Christian, 808-Ray",www.youngmoney.com,I Love You Dwayne [69] (2:00) | Don't Cry [79] (4:09) | Dedicate [83] (3:09) | Uproar [76] (3:13) | Let It Fly [70] (3:06) | Can't Be Broken [90] (3:13) | Dark Side of the Moon [73] (4:02) | Mona Lisa [95] (5:24) | What About Me [56] (3:36) | Open Letter [70] (4:29) | Famous [85] (4:02) | Problems [68] (3:28) | Dope Niggaz [73] (3:25) | Hittas [69] (3:43) | Took His Time [74] (4:22) | Open Safe [74] (3:43) | Start This Shit Off Right [67] (4:40) | Demon [74] (3:34) | Mess [76] (3:32) | Dope New Gospel [68] (3:27) | Perfect Strangers [69] (4:09) | Used 2 [79] (24:00) | Let It All Work Out [86] (5:16),"NA | XXXTENTACION | NA | Swizz Beatz | Travis Scott | NA | Nicki Minaj | Kendrick Lamar | Sosamann | NA | Reginae Carter | NA | Snoop Dogg | NA | NA | NA | Ashanti, Mack Maine | NA | NA | Nivea | NA | NA | NA",23,74.91304347826087,"Total Length: 1 hour, 27 minutes",67,71,https://www.albumoftheyear.org/album/13726-lil-wayne-tha-carter-v.php
"November 24, 2017",Björk,Utopia,70,https://www.youtube.com/watch?v=ikquXWiyaj8,1223,40,LP,One Little,"Art Pop, Glitch Pop, Folktronica","Björk, Arca, Rabit",www.bjork.com,Arisen My Senses [90] (4:59) | Blissing Me [89] (5:05) | The Gate [89] (6:33) | Utopia [84] (4:42) | Body Memory [84] (9:46) | Features Creatures [75] (4:49) | Courtship [82] (4:44) | Losss [84] (6:51) | Sue Me [76] (4:57) | Tabula Rasa [80] (4:42) | Claimstaker [78] (3:18) | Paradisia [78] (1:44) | Saint [84] (4:41) | Future Forever [79] (4:47),NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA,14,82.28571428571429,"Total Length: 1 hour, 11 minutes",76,80,https://www.albumoftheyear.org/album/90124-bjork-utopia.php
"January 14, 2012",Schoolboy Q,Habits & Contradictions,50,https://www.youtube.com/watch?v=ITVA5ALfEiE,303,14,LP,Top Dawg,Hip Hop,"The Alchemist, Mike WiLL Made It, Lex Luger, DJ Dahi, Dave Free, Sounwave, THC, Willie B, Tabu, Tae Beast, Best Kept Secret, A$AP Ty Beats, Nez & Rio",www.schoolboyq.com,NA,NA,NA,NA,NA,73,77,https://www.albumoftheyear.org/album/3360-schoolboy-q-habits-contradictions.php
"July 6, 2018",HMLTD,Hate Music Last Time Delete,80,https://www.youtube.com/watch?v=Wo4tybjxZa8,171,2,EP,RCA,"Synthpop, Art Pop",NA,NA,NA,NA,NA,NA,NA,72,70,https://www.albumoftheyear.org/album/115847-hmltd-hate-music-last-time-delete.php
